Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
continuous,Non-Travel Travel_Frequently Travel_Rarely,continuous,Human\ Resources Research\ &\ Development Sales,continuous,1 2 3 4 5,Human\ Resources Life\ Sciences Marketing Medical Other Technical\ Degree,continuous,Female Male,continuous,continuous,continuous,Healthcare\ Representative Human\ Resources Laboratory\ Technician Manager Manufacturing\ Director Research\ Director Research\ Scientist Sales\ Executive Sales\ Representative,continuous,Divorced Married Single,continuous,continuous,continuous,discrete,No Yes,continuous,continuous,continuous,continuous,0 1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,No Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class
41.0,Travel_Rarely,1102.0,Sales,1.0,2,Life Sciences,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,8.0,Y,Yes,11.0,3.0,1.0,80.0,0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Yes
49.0,Travel_Frequently,279.0,Research & Development,8.0,1,Life Sciences,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,Y,No,23.0,4.0,4.0,80.0,1,10.0,3.0,3.0,10.0,7.0,1.0,7.0,No
37.0,Travel_Rarely,1373.0,Research & Development,2.0,2,Other,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Y,Yes,15.0,3.0,2.0,80.0,0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Yes
33.0,Travel_Frequently,1392.0,Research & Development,3.0,4,Life Sciences,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,No
27.0,Travel_Rarely,591.0,Research & Development,2.0,1,Medical,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,Y,No,12.0,3.0,4.0,80.0,1,6.0,3.0,3.0,2.0,2.0,2.0,2.0,No
32.0,Travel_Frequently,1005.0,Research & Development,2.0,2,Life Sciences,4.0,Male,79.0,3.0,1.0,Laboratory Technician,4.0,Single,3068.0,11864.0,0.0,Y,No,13.0,3.0,3.0,80.0,0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,No
59.0,Travel_Rarely,1324.0,Research & Development,3.0,3,Medical,3.0,Female,81.0,4.0,1.0,Laboratory Technician,1.0,Married,2670.0,9964.0,4.0,Y,Yes,20.0,4.0,1.0,80.0,3,12.0,3.0,2.0,1.0,0.0,0.0,0.0,No
30.0,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2693.0,13335.0,1.0,Y,No,22.0,4.0,2.0,80.0,1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,No
38.0,Travel_Frequently,216.0,Research & Development,23.0,3,Life Sciences,4.0,Male,44.0,2.0,3.0,Manufacturing Director,3.0,Single,9526.0,8787.0,0.0,Y,No,21.0,4.0,2.0,80.0,0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,No
36.0,Travel_Rarely,1299.0,Research & Development,27.0,3,Medical,3.0,Male,94.0,3.0,2.0,Healthcare Representative,3.0,Married,5237.0,16577.0,6.0,Y,No,13.0,3.0,2.0,80.0,2,17.0,3.0,2.0,7.0,7.0,7.0,7.0,No
35.0,Travel_Rarely,809.0,Research & Development,16.0,3,Medical,1.0,Male,84.0,4.0,1.0,Laboratory Technician,2.0,Married,2426.0,16479.0,0.0,Y,No,13.0,3.0,3.0,80.0,1,6.0,5.0,3.0,5.0,4.0,0.0,3.0,No
29.0,Travel_Rarely,153.0,Research & Development,15.0,2,Life Sciences,4.0,Female,49.0,2.0,2.0,Laboratory Technician,3.0,Single,4193.0,12682.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,No
31.0,Travel_Rarely,670.0,Research & Development,26.0,1,Life Sciences,1.0,Male,31.0,3.0,1.0,Research Scientist,3.0,Divorced,2911.0,15170.0,1.0,Y,No,17.0,3.0,4.0,80.0,1,5.0,1.0,2.0,5.0,2.0,4.0,3.0,No
34.0,Travel_Rarely,1346.0,Research & Development,19.0,2,Medical,2.0,Male,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,2661.0,8758.0,0.0,Y,No,11.0,3.0,3.0,80.0,1,3.0,2.0,3.0,2.0,2.0,1.0,2.0,No
28.0,Travel_Rarely,103.0,Research & Development,24.0,3,Life Sciences,3.0,Male,50.0,2.0,1.0,Laboratory Technician,3.0,Single,2028.0,12947.0,5.0,Y,Yes,14.0,3.0,2.0,80.0,0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,Yes
29.0,Travel_Rarely,1389.0,Research & Development,21.0,4,Life Sciences,2.0,Female,51.0,4.0,3.0,Manufacturing Director,1.0,Divorced,9980.0,10195.0,1.0,Y,No,11.0,3.0,3.0,80.0,1,10.0,1.0,3.0,10.0,9.0,8.0,8.0,No
32.0,Travel_Rarely,334.0,Research & Development,5.0,2,Life Sciences,1.0,Male,80.0,4.0,1.0,Research Scientist,2.0,Divorced,3298.0,15053.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,2,7.0,5.0,2.0,6.0,2.0,0.0,5.0,No
22.0,Non-Travel,1123.0,Research & Development,16.0,2,Medical,4.0,Male,96.0,4.0,1.0,Laboratory Technician,4.0,Divorced,2935.0,7324.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,2,1.0,2.0,2.0,1.0,0.0,0.0,0.0,No
